,name,album,artist,gender,country,continent,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,release_date,length,popularity
0,Guaranà,This Is Elodie,Elodie,female,Italy,Europe,0.79,0.875,8,-3.59,0,0.131,0.0358,3.37e-05,,0.581,,194346,4,2020-05-12,194346,64
1,Good Times,DNA,Ghali,male,Italy,Europe,0.719,0.736,4,-6.32,0,0.0779,0.0315,0.0,,0.595,,163073,4,2020-02-21,163073,1
2,Le Feste Di Pablo ,Le Feste Di Pablo ,CARA,female,Italy,Europe,0.724,0.66,5,-6.835,1,0.157,0.0294,0.0,,0.559,,193041,4,2020-04-09,193041,58
3,Non è vero,Non è vero,The Kolors,male,Italy,Europe,0.714,0.891,1,-3.877,0,0.0646,0.232,0.0,,0.671,,186130,4,2020-05-14,186130,51
4,Quando Quando Quando ,Quando Quando Quando ,Alberto Urso,male,Italy,Europe,0.689,0.888,4,-5.302,0,0.131,0.103,1.87e-05,,0.805,,219414,4,2020-05-14,219414,40
5,Mediterranea,Mediterranea,Irama,male,Italy,Europe,0.711,0.916,11,-4.678,1,0.0587,0.113,0.0,,0.79,,177810,4,2020-05-19,177809,12
6,Ridere,Fuori dall'Hype Ringo Starr,Pinguini Tattici Nucleari,male,Italy,Europe,0.713,0.902,9,-3.009,1,0.0378,0.0493,0.0,,0.72,,214733,4,2020-02-07,214733,69
7,Musica ,Musica ,Elettra Lamborghini,female,Italy,Europe,0.779,0.835,0,-4.04,1,0.134,0.0217,0.0,,0.922,,194606,4,2020-02-06,194606,50
8,Buenos Aires,Buenos Aires,Baby K,female,Singapore,Asia,0.653,0.742,3,-5.081,0,0.145,0.0954,0.0,,0.604,,190909,4,2020-03-06,190909,48
9,Amami Adesso,Amami Adesso,Giordana Angi,female,Italy,Europe,0.745,0.713,1,-5.704,0,0.112,0.156,9.02e-06,,0.672,,168491,4,2020-05-14,168490,49
10,Chega,Genesi,Gaia,female,Italy,Europe,0.836,0.565,0,-6.436,1,0.121,0.596,2.47e-06,,0.729,,184576,4,2020-03-20,184575,0
11,Lose Somebody,Lose Somebody,Kygo,male,Norway,Europe,0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,,0.507,,199549,4,2020-05-15,199549,80
12,Houseparty,Houseparty,Annalisa,female,Italy,Europe,0.639,0.867,10,-4.67,0,0.0794,0.334,0.0,,0.839,,206843,4,2020-04-15,206843,4
13,Finirà bene,Finirà bene,Ermal Meta,male,Albania,Europe,0.515,0.891,3,-2.876,0,0.0622,0.0456,4.16e-06,,0.517,,243751,4,2020-05-01,243751,36
14,Perdonare,Perdonare,Nek,male,Italy,Europe,0.371,0.638,0,-5.941,1,0.0411,0.355,0.0,,0.661,,238063,3,2020-04-10,238062,34
15,Problemi Con Tutti ,Problemi Con Tutti ,Fedez,male,Italy,Europe,0.669,0.851,8,-4.939,0,0.215,0.215,0.0,,0.645,,134875,4,2020-05-15,134874,52
16,MA IL CIELO E' SEMPRE BLU ,MA IL CIELO E' SEMPRE BLU ,ITALIAN ALLSTARS 4 LIFE,mixed,Italy,Europe,0.618,0.863,11,-3.207,0,0.071,0.0495,0.0,,0.561,,333084,4,2020-05-08,333084,50
17,Coco Chanel,Genesi,Gaia,female,Italy,Europe,0.842,0.581,10,-7.75,0,0.236,0.448,1.84e-06,,0.445,,144643,4,2020-03-20,144642,0
18,Together,Together,Sia,female,Australia,Oceania,0.521,0.877,7,-5.444,1,0.0683,0.0132,0.0806,,0.199,,205208,4,2020-05-20,205207,79
19,Insieme: Grandi Amori,Insieme: Grandi Amori,Francesco Renga,male,Italy,Europe,0.605,0.886,8,-4.567,1,0.058,0.000713,0.0,,0.648,,182814,3,2020-05-22,182813,37
20,Deeper ,Deeper ,Biicla,male,Russia,Europe,0.617,0.551,4,-7.071,0,0.0511,0.0117,0.00297,,0.13,,174244,4,2020-05-19,174243,44
